index,name,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,,
57,blue jelly,S_JELLY,4,0,8,10,0,G_GENO | 2,"ATTK(AT_NONE, AD_COLD, 0, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_COLD | MR_POISON,MR_COLD | MR_POISON,M1_BREATHLESS | M1_AMORPHOUS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_NOTAKE,M2_HOSTILE | M2_NEUTER,,CLR_BLUE,jellies,,
58,spotted jelly,S_JELLY,5,0,8,10,0,G_GENO | 1,"ATTK(AT_NONE, AD_ACID, 0, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_ACID | MR_STONE,,M1_BREATHLESS | M1_AMORPHOUS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_ACID | M1_NOTAKE,M2_HOSTILE | M2_NEUTER,,CLR_GREEN,jellies,,
59,ochre jelly,S_JELLY,6,3,8,20,0,G_GENO | 2,"ATTK(AT_ENGL, AD_ACID, 3, 6)","ATTK(AT_NONE, AD_ACID, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,20,MS_SILENT,MZ_MEDIUM,MR_ACID | MR_STONE,,M1_BREATHLESS | M1_AMORPHOUS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_ACID | M1_NOTAKE,M2_HOSTILE | M2_NEUTER,,CLR_BROWN,jellies,,
60,kobold,S_KOBOLD,0,6,10,0,-2,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID | M1_POIS | M1_OMNIVORE,M2_HOSTILE | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BROWN,kobolds,,
61,large kobold,S_KOBOLD,1,6,10,0,-3,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,450,150,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID | M1_POIS | M1_OMNIVORE,M2_HOSTILE | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_RED,kobolds,,
62,kobold lord,S_KOBOLD,2,6,10,0,-4,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,500,200,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID | M1_POIS | M1_OMNIVORE,M2_HOSTILE | M2_LORD | M2_MALE | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,HI_LORD,kobolds,,
63,kobold shaman,S_KOBOLD,2,6,6,10,-4,G_GENO | 1,"ATTK(AT_MAGC, AD_SPEL, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,450,150,MS_ORC,MZ_SMALL,MR_POISON,,M1_HUMANOID | M1_POIS | M1_OMNIVORE,M2_HOSTILE | M2_MAGIC,M3_INFRAVISIBLE | M3_INFRAVISION,HI_ZAP,kobolds,,
64,leprechaun,S_LEPRECHAUN,5,15,8,20,0,G_GENO | 4,"ATTK(AT_CLAW, AD_SGLD, 1, 2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,60,30,MS_LAUGH,MZ_TINY,,,M1_HUMANOID | M1_TPORT,M2_HOSTILE | M2_GREEDY,M3_INFRAVISIBLE,CLR_GREEN,leprechauns,,
65,small mimic,S_MIMIC,7,3,7,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 3, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,300,200,MS_SILENT,MZ_MEDIUM,MR_ACID,,M1_BREATHLESS | M1_AMORPHOUS | M1_HIDE | M1_ANIMAL | M1_NOEYES| M1_NOHEAD | M1_NOLIMBS | M1_THICK_HIDE | M1_CARNIVORE,M2_HOSTILE,,CLR_BROWN,mimics,,
66,large mimic,S_MIMIC,8,3,7,10,0,G_GENO | 1,"ATTK(AT_CLAW, AD_STCK, 3, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,400,MS_SILENT,MZ_LARGE,MR_ACID,,M1_CLING | M1_BREATHLESS | M1_AMORPHOUS | M1_HIDE | M1_ANIMAL| M1_NOEYES | M1_NOHEAD | M1_NOLIMBS | M1_THICK_HIDE| M1_CARNIVORE,M2_HOSTILE | M2_STRONG,,CLR_RED,mimics,,
67,giant mimic,S_MIMIC,9,3,7,20,0,G_GENO | 1,"ATTK(AT_CLAW, AD_STCK, 3, 6)","ATTK(AT_CLAW, AD_STCK, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,500,MS_SILENT,MZ_LARGE,MR_ACID,,M1_CLING | M1_BREATHLESS | M1_AMORPHOUS | M1_HIDE | M1_ANIMAL| M1_NOEYES | M1_NOHEAD | M1_NOLIMBS | M1_THICK_HIDE| M1_CARNIVORE,M2_HOSTILE | M2_STRONG,,HI_LORD,mimics,,
68,wood nymph,S_NYMPH,3,12,9,20,0,G_GENO | 2,"ATTK(AT_CLAW, AD_SITM, 0, 0)","ATTK(AT_CLAW, AD_SEDU, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_HUMAN,,,M1_HUMANOID | M1_TPORT,M2_HOSTILE | M2_FEMALE | M2_COLLECT,M3_INFRAVISIBLE,CLR_GREEN,nymphs,,
69,water nymph,S_NYMPH,3,12,9,20,0,G_GENO | 2,"ATTK(AT_CLAW, AD_SITM, 0, 0)","ATTK(AT_CLAW, AD_SEDU, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_HUMAN,,,M1_HUMANOID | M1_TPORT | M1_SWIM,M2_HOSTILE | M2_FEMALE | M2_COLLECT,M3_INFRAVISIBLE,CLR_BLUE,nymphs,,
70,mountain nymph,S_NYMPH,3,12,9,20,0,G_GENO | 2,"ATTK(AT_CLAW, AD_SITM, 0, 0)","ATTK(AT_CLAW, AD_SEDU, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,300,MS_SEDUCE,MZ_HUMAN,,,M1_HUMANOID | M1_TPORT,M2_HOSTILE | M2_FEMALE | M2_COLLECT,M3_INFRAVISIBLE,CLR_BROWN,nymphs,,
71,goblin,S_ORC,0,6,10,0,-3,G_GENO | 2,"ATTK(AT_WEAP, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_ORC,MZ_SMALL,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_GRAY,orcs,,
72,hobgoblin,S_ORC,1,9,10,0,-4,G_GENO | 2,"ATTK(AT_WEAP, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BROWN,orcs,,
73,orc,S_ORC,1,9,10,0,-3,G_GENO | G_NOGEN | G_LGROUP,"ATTK(AT_WEAP, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,850,150,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_NOPOLY | M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_RED,orcs,plain “orc” for zombie corpses only; not created at random,
74,hill orc,S_ORC,2,9,10,0,-4,G_GENO | G_LGROUP | 2,"ATTK(AT_WEAP, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,200,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_YELLOW,orcs,,
75,Mordor orc,S_ORC,3,5,10,0,-5,G_GENO | G_LGROUP | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1200,200,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BLUE,orcs,,
76,Uruk-hai,S_ORC,3,7,10,0,-4,G_GENO | G_LGROUP | 1,"ATTK(AT_WEAP, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,CLR_BLACK,orcs,,
77,orc shaman,S_ORC,3,9,5,10,-5,G_GENO | 1,"ATTK(AT_MAGC, AD_SPEL, 0, 0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1000,300,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_MAGIC,M3_INFRAVISIBLE | M3_INFRAVISION,HI_ZAP,orcs,,
78,orc-captain,S_ORC,5,5,10,0,-5,G_GENO | 1,"ATTK(AT_WEAP, AD_PHYS, 2, 4)","ATTK(AT_WEAP, AD_PHYS, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1350,350,MS_ORC,MZ_HUMAN,,,M1_HUMANOID | M1_OMNIVORE,M2_ORC | M2_STRONG | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE | M3_INFRAVISION,HI_LORD,orcs,,
79,rock piercer,S_PIERCER,3,1,3,0,0,G_GENO | 4,"ATTK(AT_BITE, AD_PHYS, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,200,200,MS_SILENT,MZ_SMALL,,,M1_CLING | M1_HIDE | M1_ANIMAL | M1_NOEYES | M1_NOLIMBS | M1_CARNIVORE| M1_NOTAKE,M2_HOSTILE,,CLR_GRAY,piercers,,
80,iron piercer,S_PIERCER,5,1,0,0,0,G_GENO | 2,"ATTK(AT_BITE, AD_PHYS, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,300,MS_SILENT,MZ_MEDIUM,,,M1_CLING | M1_HIDE | M1_ANIMAL | M1_NOEYES | M1_NOLIMBS | M1_CARNIVORE| M1_NOTAKE,M2_HOSTILE,,CLR_CYAN,piercers,,
81,glass piercer,S_PIERCER,7,1,0,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 4, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,400,300,MS_SILENT,MZ_MEDIUM,MR_ACID,,M1_CLING | M1_HIDE | M1_ANIMAL | M1_NOEYES | M1_NOLIMBS | M1_CARNIVORE| M1_NOTAKE,M2_HOSTILE,,CLR_WHITE,piercers,,
82,rothe,S_QUADRUPED,2,9,7,0,0,G_GENO | G_SGROUP | 4,"ATTK(AT_CLAW, AD_PHYS, 1, 3)","ATTK(AT_BITE, AD_PHYS, 1, 3)","ATTK(AT_BITE, AD_PHYS, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,400,100,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,quadrupeds,,
83,mumak,S_QUADRUPED,5,9,0,0,-2,G_GENO | 1,"ATTK(AT_BUTT, AD_PHYS, 4, 12)","ATTK(AT_BITE, AD_PHYS, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,500,MS_ROAR,MZ_LARGE,,,M1_ANIMAL | M1_THICK_HIDE | M1_NOHANDS | M1_HERBIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_GRAY,quadrupeds,,
84,leocrotta,S_QUADRUPED,6,18,4,10,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 2, 6)","ATTK(AT_BITE, AD_PHYS, 2, 6)","ATTK(AT_CLAW, AD_PHYS, 2, 6)",NO_ATTK,NO_ATTK,NO_ATTK,1200,500,MS_IMITATE,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_RED,quadrupeds,,
85,wumpus,S_QUADRUPED,8,3,2,10,0,G_GENO | 1,"ATTK(AT_BITE, AD_PHYS, 3, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2500,500,MS_BURBLE,MZ_LARGE,,,M1_CLING | M1_ANIMAL | M1_NOHANDS | M1_OMNIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_CYAN,quadrupeds,,
86,titanothere,S_QUADRUPED,12,12,6,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 2, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2650,650,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_THICK_HIDE | M1_NOHANDS | M1_HERBIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_GRAY,quadrupeds,,
87,baluchitherium,S_QUADRUPED,14,12,5,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 5, 4)","ATTK(AT_CLAW, AD_PHYS, 5, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_THICK_HIDE | M1_NOHANDS | M1_HERBIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_GRAY,quadrupeds,,
88,mastodon,S_QUADRUPED,20,12,5,0,0,G_GENO | 1,"ATTK(AT_BUTT, AD_PHYS, 4, 8)","ATTK(AT_BUTT, AD_PHYS, 4, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3800,800,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_THICK_HIDE | M1_NOHANDS | M1_HERBIVORE,M2_HOSTILE | M2_STRONG,M3_INFRAVISIBLE,CLR_BLACK,quadrupeds,,
89,sewer rat,S_RODENT,0,12,7,0,0,G_GENO | G_SGROUP | 1,"ATTK(AT_BITE, AD_PHYS, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,12,MS_SQEEK,MZ_TINY,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,rodents,,
90,giant rat,S_RODENT,1,10,7,0,0,G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SQEEK,MZ_TINY,,,M1_ANIMAL | M1_NOHANDS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,rodents,,
91,rabid rat,S_RODENT,2,12,6,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_DRCO, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,5,MS_SQEEK,MZ_TINY,MR_POISON,,M1_ANIMAL | M1_NOHANDS | M1_POIS | M1_CARNIVORE,M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,rodents,,
92,wererat,S_RODENT,2,12,6,10,-7,G_NOGEN | G_NOCORPSE,"ATTK(AT_BITE, AD_WERE, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,40,30,MS_SQEEK,MZ_TINY,MR_POISON,,M1_NOHANDS | M1_POIS | M1_REGEN | M1_CARNIVORE,M2_NOPOLY | M2_WERE | M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,rodents,,
93,rock mole,S_RODENT,3,3,0,20,0,G_GENO | 2,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_TUNNEL | M1_ANIMAL | M1_NOHANDS | M1_METALLIVORE,M2_HOSTILE | M2_GREEDY | M2_JEWELS | M2_COLLECT,M3_INFRAVISIBLE,CLR_GRAY,rodents,,
94,woodchuck,S_RODENT,3,3,0,20,0,G_NOGEN | G_GENO,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_SMALL,,,M1_TUNNEL | M1_ANIMAL | M1_NOHANDS | M1_SWIM| M1_HERBIVORE,M2_WANDER | M2_HOSTILE,M3_INFRAVISIBLE,CLR_BROWN,rodents,"In reality, they tunnel instead of cutting lumber.  Oh, well.",
95,cave spider,S_SPIDER,1,12,3,0,0,G_GENO | G_SGROUP | 2,"ATTK(AT_BITE, AD_PHYS, 1, 2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL | M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_CARNIVORE,M2_HOSTILE,,CLR_GRAY,spiders & scorpions,,
96,centipede,S_SPIDER,2,4,3,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_DRST, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,50,50,MS_SILENT,MZ_TINY,MR_POISON,MR_POISON,M1_CONCEAL | M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_CARNIVORE,M2_HOSTILE,,CLR_YELLOW,spiders & scorpions,,
97,giant spider,S_SPIDER,5,15,4,0,0,G_GENO | 1,"ATTK(AT_BITE, AD_DRST, 2, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,100,100,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_POIS | M1_CARNIVORE,M2_HOSTILE | M2_STRONG,,CLR_MAGENTA,spiders & scorpions,,
98,scorpion,S_SPIDER,5,15,3,0,0,G_GENO | 2,"ATTK(AT_CLAW, AD_PHYS, 1, 2)","ATTK(AT_CLAW, AD_PHYS, 1, 2)","ATTK(AT_STNG, AD_DRST, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,50,100,MS_SILENT,MZ_SMALL,MR_POISON,MR_POISON,M1_CONCEAL | M1_ANIMAL | M1_NOHANDS | M1_OVIPAROUS | M1_POIS| M1_CARNIVORE,M2_HOSTILE,,CLR_RED,spiders & scorpions,,
99,lurker above,S_TRAPPER,10,3,3,0,0,G_GENO | 2,"ATTK(AT_ENGL, AD_DGST, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_HIDE | M1_FLY | M1_ANIMAL | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_CARNIVORE,M2_HOSTILE | M2_STALK | M2_STRONG,,CLR_GRAY,"trappers, lurkers, &c",,
100,trapper,S_TRAPPER,12,3,3,0,0,G_GENO | 2,"ATTK(AT_ENGL, AD_DGST, 1, 10)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,800,350,MS_SILENT,MZ_HUGE,,,M1_HIDE | M1_ANIMAL | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_CARNIVORE,M2_HOSTILE | M2_STALK | M2_STRONG,,CLR_GREEN,"trappers, lurkers, &c",,
101,pony,S_UNICORN,3,16,6,0,0,G_GENO | 2,"ATTK(AT_KICK, AD_PHYS, 1, 6)","ATTK(AT_BITE, AD_PHYS, 1, 2)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,250,MS_NEIGH,MZ_MEDIUM,,,M1_ANIMAL | M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_DOMESTIC,M3_INFRAVISIBLE,CLR_BROWN,unicorns and horses,,
102,white unicorn,S_UNICORN,4,24,2,70,7,G_GENO | 2,"ATTK(AT_BUTT, AD_PHYS, 1, 12)","ATTK(AT_KICK, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_JEWELS,M3_INFRAVISIBLE,CLR_WHITE,unicorns and horses,,
103,gray unicorn,S_UNICORN,4,24,2,70,0,G_GENO | 1,"ATTK(AT_BUTT, AD_PHYS, 1, 12)","ATTK(AT_KICK, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_JEWELS,M3_INFRAVISIBLE,CLR_GRAY,unicorns and horses,,
104,black unicorn,S_UNICORN,4,24,2,70,-7,G_GENO | 1,"ATTK(AT_BUTT, AD_PHYS, 1, 12)","ATTK(AT_KICK, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1300,300,MS_NEIGH,MZ_LARGE,MR_POISON,MR_POISON,M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_JEWELS,M3_INFRAVISIBLE,CLR_BLACK,unicorns and horses,,
105,horse,S_UNICORN,5,20,5,0,0,G_GENO | 2,"ATTK(AT_KICK, AD_PHYS, 1, 8)","ATTK(AT_BITE, AD_PHYS, 1, 3)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1500,300,MS_NEIGH,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_DOMESTIC,M3_INFRAVISIBLE,CLR_BROWN,unicorns and horses,,
106,warhorse,S_UNICORN,7,24,4,0,0,G_GENO | 2,"ATTK(AT_KICK, AD_PHYS, 1, 10)","ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1800,350,MS_NEIGH,MZ_LARGE,,,M1_ANIMAL | M1_NOHANDS | M1_HERBIVORE,M2_WANDER | M2_STRONG | M2_DOMESTIC,M3_INFRAVISIBLE,CLR_BROWN,unicorns and horses,,
107,fog cloud,S_VORTEX,3,1,0,0,0,G_GENO | G_NOCORPSE | 2,"ATTK(AT_ENGL, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_AMORPHOUS | M1_UNSOLID,M2_HOSTILE | M2_NEUTER,,CLR_GRAY,vortices,,
108,dust vortex,S_VORTEX,4,20,2,30,0,G_GENO | G_NOCORPSE | 2,"ATTK(AT_ENGL, AD_BLND, 2, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_SLEEP | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS,M2_HOSTILE | M2_NEUTER,,CLR_BROWN,vortices,,
109,ice vortex,S_VORTEX,5,20,2,30,0,G_NOHELL | G_GENO | G_NOCORPSE | 1,"ATTK(AT_ENGL, AD_COLD, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_COLD | MR_SLEEP | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_CYAN,vortices,,
110,energy vortex,S_VORTEX,6,20,2,30,0,G_GENO | G_NOCORPSE | 1,"ATTK(AT_ENGL, AD_ELEC, 1, 6)","ATTK(AT_ENGL, AD_DREN, 2, 6)","ATTK(AT_NONE, AD_ELEC, 0, 4)",NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_ELEC | MR_SLEEP | MR_DISINT | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_UNSOLID,M2_HOSTILE | M2_NEUTER,,HI_ZAP,vortices,,
111,steam vortex,S_VORTEX,7,22,2,30,0,G_HELL | G_GENO | G_NOCORPSE | 2,"ATTK(AT_ENGL, AD_FIRE, 1, 8)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE | MR_SLEEP | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_UNSOLID,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_BLUE,vortices,,
112,fire vortex,S_VORTEX,8,22,2,30,0,G_HELL | G_GENO | G_NOCORPSE | 1,"ATTK(AT_ENGL, AD_FIRE, 1, 10)","ATTK(AT_NONE, AD_FIRE, 0, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,MS_SILENT,MZ_HUGE,MR_FIRE | MR_SLEEP | MR_POISON | MR_STONE,,M1_FLY | M1_BREATHLESS | M1_NOEYES | M1_NOLIMBS | M1_NOHEAD| M1_MINDLESS | M1_UNSOLID,M2_HOSTILE | M2_NEUTER,M3_INFRAVISIBLE,CLR_YELLOW,vortices,,
113,baby long worm,S_WORM,5,3,5,0,0,,"ATTK(AT_BITE, AD_PHYS, 1, 4)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_SLITHY | M1_NOLIMBS | M1_CARNIVORE | M1_NOTAKE,M2_HOSTILE,,CLR_BROWN,worms,,
114,baby purple worm,S_WORM,8,3,5,0,0,,"ATTK(AT_BITE, AD_PHYS, 1, 6)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,600,250,MS_SILENT,MZ_LARGE,,,M1_ANIMAL | M1_SLITHY | M1_NOLIMBS | M1_CARNIVORE,M2_HOSTILE,,CLR_MAGENTA,worms,,
